,0
0,0.04495636
1,0.03686564
2,0.039869502
3,0.14637253
4,0.56740934
5,0.5054921
6,0.14139469
7,0.43915653
8,0.23843059
9,0.09298732
10,0.17431381
11,0.108803965
12,0.07604395
13,0.22809124
14,0.7237043
15,0.36760327
16,0.17032611
17,0.5060582
18,0.6601048
19,0.40182292
20,0.08080275
21,0.64578277
22,0.46982223
23,0.25872383
24,0.7301986
25,0.7272436
26,0.14799815
27,0.11159757
28,0.64220315
29,0.18545164
30,0.36434093
31,0.4141108
32,0.5181138
33,0.1760063
34,0.18536945
35,0.44565436
36,0.20842426
37,0.20102115
38,0.47344866
39,0.878095
40,0.5267854
41,0.0154995145
42,0.17720386
43,0.11258969
44,0.30237225
45,0.0522029
46,0.22283085
47,0.15442517
48,0.03684717
49,0.12670948
50,0.3974953
51,0.17597894
52,0.12153752
53,0.049563296
54,0.089742005
55,0.17673127
56,0.10699879
57,0.275909
58,0.17435823
59,0.2967322
60,0.12776135
61,0.0643752
62,0.24997866
63,0.27725145
64,0.19944769
65,0.14626174
66,0.68327695
67,0.87573487
68,0.42702818
69,0.5614243
70,0.37570024
71,0.09338886
72,0.21428715
73,0.022714697
74,0.08423532
75,0.06854595
76,0.1108861
77,0.3806471
78,0.31464064
79,0.16535981
80,0.40556896
81,0.102364175
82,0.10070235
83,0.25016913
84,0.08510595
85,0.07634418
86,0.09541466
87,0.13076498
88,0.20852137
89,0.10209832
90,0.14937007
91,0.15280019
92,0.05670072
93,0.046757594
94,0.15089622
95,0.053228024
96,0.14974958
97,0.06256554
98,0.054835726
99,0.038726244
100,0.17683022
101,0.6356823
102,0.34460014
103,0.3269861
104,0.30303887
105,0.26514196
106,0.028943302
107,0.029769953
108,0.09498735
109,0.02748922
110,0.030105188
111,0.45575088
112,0.0761851
113,0.60177726
114,0.34303197
115,0.35121578
116,0.47298828
117,0.353122
118,0.17408548
119,0.063506626
120,0.6451115
121,0.17205575
122,0.54568243
123,0.33367023
124,0.38998744
125,0.22595315
126,0.037756547
127,0.49237752
128,0.7281439
129,0.41664645
130,0.5566541
131,0.74275565
132,0.3710114
133,0.20705144
134,0.41011465
135,0.28782156
136,0.54548633
137,0.1853057
138,0.086896285
139,0.2591506
140,0.06344203
141,0.082799494
142,0.22646642
143,0.06806068
144,0.4583143
145,0.0593083
146,0.34142795
147,0.06310966
148,0.111948006
149,0.12568572
150,0.113791086
151,0.30406925
152,0.14326745
153,0.5587903
154,0.37358788
155,0.24826403
156,0.33174488
157,0.18496485
158,0.14852668
159,0.061329115
160,0.061119888
161,0.12617661
162,0.106067404
163,0.17280671
164,0.34794953
165,0.07430624
166,0.4632127
167,0.6387447
168,0.09778437
169,0.5549396
170,0.33943078
171,0.6208673
172,0.070121154
173,0.47808906
174,0.15220466
175,0.7407135
176,0.092301376
177,0.010530725
178,0.22520556
179,0.041016556
180,0.6667353
181,0.19696932
182,0.15777902
183,0.23266453
184,0.17103867
185,0.11328573
186,0.3050275
187,0.30229726
188,0.28085247
189,0.4645137
190,0.40116066
191,0.4505871
192,0.30860046
193,0.059555043
194,0.26747292
195,0.23286304
196,0.32100222
197,0.3940902
198,0.30984038
199,0.1424413
200,0.10063925
201,0.1723486
202,0.1864178
203,0.15111534
204,0.13512444
205,0.102100685
206,0.17177615
207,0.091629185
208,0.179059
209,0.17211327
210,0.11382634
211,0.122278705
212,0.09777355
213,0.061201982
214,0.118540145
215,0.050505105
216,0.07879353
217,0.037880372
218,0.17435896
219,0.049714264
220,0.1676162
221,0.138434
222,0.6178327
223,0.059747253
224,0.7022981
225,0.4262774
226,0.64657074
227,0.10187224
228,0.41589743
229,0.27655616
230,0.42746478
231,0.31336206
232,0.3986948
233,0.29107857
234,0.7742308
235,0.21037234
236,0.42906567
237,0.6672009
238,0.5186693
239,0.16779788
240,0.478557
241,0.56034184
242,0.469506
243,0.38726673
244,0.26198632
245,0.44012564
246,0.17594983
247,0.30057222
248,0.090054035
249,0.061583597
250,0.3879197
251,0.47630253
252,0.21286382
253,0.06658842
254,0.07767014
255,0.1206265
256,0.0515719
257,0.077696964
258,0.040791865
259,0.05928225
260,0.15177839
261,0.07499219
262,0.068754174
263,0.06393645
264,0.3473607
265,0.10838146
266,0.016088752
267,0.16392356
268,0.058592588
269,0.12083986
270,0.060524322
271,0.15913634
272,0.094057836
273,0.19761242
274,0.5707121
275,0.2714918
276,0.1284937
277,0.08631646
278,0.054744087
279,0.16652569
280,0.075953655
281,0.093431465
282,0.094210856
283,0.13862345
284,0.062088445
285,0.0990698
286,0.04518108
287,0.14143257
288,0.09171024
289,0.5204674
290,0.08591803
291,0.33093473
292,0.24611144
293,0.28652218
294,0.13018264
295,0.12518495
296,0.40032032
297,0.28560457
298,0.21138804
299,0.47124436
300,0.4247298
301,0.1448352
302,0.11866606
303,0.12596051
304,0.12795705
305,0.17599232
306,0.028589962
307,0.038631566
308,0.1753716
309,0.025179807
310,0.35256064
311,0.14918117
312,0.26128212
313,0.5348188
314,0.27463046
315,0.32242882
316,0.0952448
317,0.4801891
318,0.29757908
319,0.67056286
320,0.4266448
321,0.32921234
322,0.48179528
323,0.2718521
324,0.7315555
325,0.49367478
326,0.8601931
327,0.41913205
328,0.37922132
329,0.19577646
330,0.06845331
331,0.5129112
332,0.1682702
333,0.56753856
334,0.51049757
335,0.13166888
336,0.12647572
337,0.03405831
338,0.2373723
339,0.18492502
340,0.1167981
341,0.19164571
342,0.11542667
343,0.21444723
344,0.0475362
345,0.09297052
346,0.047712445
347,0.11354531
348,0.06121501
349,0.32618105
350,0.0809299
351,0.100755
352,0.15214087
353,0.06190194
354,0.058678724
355,0.42420453
356,0.23249415
357,0.15421532
358,0.31308293
359,0.33876687
360,0.09401554
361,0.12523448
362,0.04499106
363,0.03125357
364,0.046025936
365,0.06268003
366,0.34039557
367,0.1846411
368,0.10566456
369,0.121249825
370,0.18008073
371,0.113490306
372,0.1573632
373,0.11486698
374,0.05302308
375,0.09837619
376,0.25037742
377,0.022757076
378,0.57705086
379,0.097782195
380,0.27047879
381,0.37540305
382,0.19608168
383,0.19703296
384,0.1412015
385,0.187606
386,0.10371114
387,0.26160088
388,0.18364121
389,0.4356867
390,0.25579792
391,0.17013688
392,0.06744759
393,0.19022776
394,0.43966934
395,0.21032369
396,0.83704156
397,0.41207024
398,0.33475924
399,0.12578887
400,0.15758583
401,0.39892998
402,0.30815792
403,0.35776502
404,0.33394527
405,0.74196154
406,0.32447422
407,0.57976633
408,0.035171874
409,0.15045966
410,0.04843188
411,0.13090582
412,0.23068728
413,0.16665867
414,0.36962265
415,0.38366282
416,0.31917742
417,0.78946877
418,0.42863676
419,0.1339067
420,0.2079147
421,0.4175087
422,0.37202162
423,0.27734745
424,0.72448605
425,0.36200416
426,0.49039915
427,0.19255567
428,0.29884827
429,0.24819858
430,0.21195798
431,0.25043535
432,0.14113759
433,0.14807725
434,0.3826937
435,0.10099611
436,0.027648874
437,0.13233416
438,0.15108998
439,0.016522963
440,0.09519993
441,0.12118581
442,0.12638104
443,0.8189634
444,0.23535708
445,0.2641981
446,0.08440574
447,0.26563185
448,0.60438675
449,0.13747647
450,0.2788061
451,0.14390579
452,0.53448176
453,0.5122503
454,0.2219762
455,0.1107772
456,0.18057649
457,0.1472063
458,0.27035207
459,0.15185893
460,0.0704476
461,0.061766747
462,0.05316788
463,0.10429252
464,0.56828153
465,0.16305174
466,0.29422367
467,0.28731602
468,0.09620476
469,0.10179373
470,0.12782526
471,0.69625753
472,0.094274476
473,0.18035343
474,0.09586526
475,0.12856355
476,0.058625333
477,0.07602453
478,0.48429838
479,0.29101756
480,0.18469357
481,0.21022803
482,0.15592095
483,0.010655526
484,0.05436137
485,0.10108169
486,0.0531726
